employee_id_hris,employee_id_ats,full_name,email,job_title,location,join_date,performance_rating,skills,training_completed,last_promotion_date
EMP-1169,candidate_721,Wage Padmasari,wage.padmasari@medikanusantara.com,Sales II,Makassar,2018-06-01,2.0,,No,2023-10-26
EMP-1170,,"Ana Nurdiyanti, S.Ked",ana.nurdiyanti.s.ked@medikanusantara.com,AM,Bandung,2021-01-22,5.0,,No,2021-02-22
EMP-1171,candidate_528,Vicky Iswahyudi,vicky.iswahyudi@medikanusantara.com,Sales Executive,Makassar,2024-07-09,3.0,,No,2025-08-11
EMP-1172,candidate_415,"Kawaya Sihombing, M.Ak",kawaya.sihombing.m.ak@medikanusantara.com,AM,Surabaya,2018-03-11,,Relationship Management;Negotiation,No,2019-10-10
EMP-1173,candidate_711,Sakti Rajata,sakti.rajata@medikanusantara.com,Sr Sales,Jakarta,2021-08-21,,Negotiation;CRM,No,
EMP-1174,candidate_844,Ratih Hutagalung,ratih.hutagalung@medikanusantara.com,Account Manager,Makassar,2018-08-20,,,Yes,2022-04-02
EMP-1175,candidate_882,Kasiyah Agustina,kasiyah.agustina@medikanusantara.com,Sr Sales,Jakarta,2023-07-22,2.0,Negotiation;Leadership,No,
EMP-1176,candidate_247,Maya Rahimah,maya.rahimah@medikanusantara.com,Sales II,Yogyakarta,2023-02-24,3.0,Communication;CRM,No,2023-07-01
EMP-1177,candidate_585,drg. Nadia Hidayat,drg..nadia.hidayat@medikanusantara.com,Sr Sales,Yogyakarta,2019-05-09,,,Yes,
EMP-1178,candidate_406,Lidya Padmasari,lidya.padmasari@medikanusantara.com,Sales 2,Yogyakarta,2016-08-03,4.0,Communication;CRM,No,2021-10-06
EMP-1179,candidate_526,H. Jindra Megantara,h..jindra.megantara@medikanusantara.com,Sales Senior,Yogyakarta,2016-09-14,,,Yes,2021-12-03
EMP-1180,candidate_744,Cahya Nasyiah,cahya.nasyiah@medikanusantara.com,Sales Senior,Jakarta,2023-11-09,4.0,CRM;Negotiation,Yes,2025-12-12
EMP-1181,candidate_528,Cut Tami Hartati,cut.tami.hartati@medikanusantara.com,Sales 2,Makassar,2019-10-26,3.0,,Yes,
EMP-1182,candidate_485,"Prayoga Saragih, S.Sos",prayoga.saragih.s.sos@medikanusantara.com,Sales Senior,Makassar,2021-08-02,2.0,CRM;Negotiation,No,2024-10-17
EMP-1183,candidate_797,"Darmaji Gunawan, S.Gz",darmaji.gunawan.s.gz@medikanusantara.com,Sales Senior,Surabaya,2020-09-12,,,No,2025-04-15
EMP-1184,candidate_889,Catur Padmasari,catur.padmasari@medikanusantara.com,Sales Senior,Yogyakarta,2025-04-14,3.0,Leadership;CRM,Yes,2025-06-01
EMP-1185,candidate_488,Daryani Jailani,daryani.jailani@medikanusantara.com,Sales Senior,Surabaya,2023-12-01,4.0,CRM;Leadership,No,
EMP-1186,,Paiman Anggriawan,paiman.anggriawan@medikanusantara.com,AM,Makassar,2024-11-16,3.0,,No,2026-03-18
EMP-1187,candidate_345,"Nardi Prastuti, M.M.",nardi.prastuti.m.m.@medikanusantara.com,Sales Executive,Makassar,2017-04-07,3.0,Presentation;Communication,Yes,
EMP-1188,candidate_797,dr. Amelia Saptono,dr..amelia.saptono@medikanusantara.com,Sales Executive,Yogyakarta,2021-04-09,3.0,,No,2024-10-16
EMP-1189,candidate_392,"Gabriella Susanti, S.IP",gabriella.susanti.s.ip@medikanusantara.com,Sales 2,Yogyakarta,2018-01-15,5.0,Communication;CRM,Yes,2020-06-18
EMP-1190,candidate_137,Bajragin Usada,bajragin.usada@medikanusantara.com,Sales Executive,Jakarta,2018-09-16,,Communication;Presentation,No,2025-08-12
EMP-1191,candidate_443,Kiandra Adriansyah,kiandra.adriansyah@medikanusantara.com,Sales Senior,Makassar,2017-12-30,3.0,Leadership;Negotiation,Yes,
EMP-1192,candidate_848,Ophelia Yulianti,ophelia.yulianti@medikanusantara.com,Sales Senior,Yogyakarta,2023-03-27,3.0,Leadership;CRM,Yes,2023-11-26
EMP-1193,candidate_515,Gamanto Tampubolon,gamanto.tampubolon@medikanusantara.com,Sales 2,Bandung,2023-10-16,2.0,Communication;CRM,Yes,2024-10-20
EMP-1194,candidate_106,Sutan Unggul Marpaung,sutan.unggul.marpaung@medikanusantara.com,AM,Yogyakarta,2021-03-21,2.0,Relationship Management;Negotiation,Yes,2025-03-25
EMP-1195,candidate_163,Luluh Rahmawati,luluh.rahmawati@medikanusantara.com,Sales Senior,Surabaya,2021-01-24,4.0,Leadership;Negotiation,No,2022-08-19
EMP-1196,candidate_236,"Sutan Cahyanto Pranowo, S.Psi",sutan.cahyanto.pranowo.s.psi@medikanusantara.com,Account Manager,Makassar,2023-06-10,3.0,Negotiation;Relationship Management,No,2025-01-29
EMP-1197,candidate_906,"R.A. Jamalia Megantara, S.H.",r.a..jamalia.megantara.s.h.@medikanusantara.com,AM,Makassar,2023-09-02,5.0,Negotiation;Relationship Management,Yes,2025-11-05
EMP-1198,,"Jaiman Safitri, M.TI.",jaiman.safitri.m.ti.@medikanusantara.com,AM,Makassar,2023-11-17,2.0,Relationship Management;Negotiation,Yes,2024-12-13
EMP-1199,candidate_156,Shania Hidayat,shania.hidayat@medikanusantara.com,Sales Senior,Yogyakarta,2023-05-15,2.0,CRM;Leadership,Yes,2023-06-18
EMP-1200,candidate_936,Galang Ramadan,galang.ramadan@medikanusantara.com,Sr Sales,Yogyakarta,2022-08-26,5.0,CRM;Leadership,No,2023-05-23
